VLR NUMBER,Number of SUBS,Country Name,Operator
33191491720291,15,France,
331914206080031,15,France,
38161018,14,Serbia,
19027180003,14,Canada,
32475184007,14,Belgium,Proximus
32475185007,14,Belgium,Proximus
33609004140,14,France,SFR
351960990066,14,Portugal,MEO
33191221770035,14,France,
33191221770041,14,France,
33191224620026,14,France,
33191225070202,14,France,
33191443850123,14,France,
33191491720290,14,France,
33609004110,13,France,SFR
96899300250,13,Oman,Omantel
3319120120407,13,France,
3319120120457,13,France,
33191443850134,13,France,
33191443850137,13,France,
331912237600054,13,France,
4741711699,12,Norway,telenor norge
14054728083,12,United States,
316530220000,12,Netherlands,
905329374400,12,Türkiye,Turkcell
33191236720192,12,France,
33191243840257,12,France,
33191306940036,12,France,
33191346560099,12,France,
46735483165,11,Sweden,HI3G Access
97455589812,11,Qatar,ooredoo
436990071301,11,Austria,Orange AT
33191221770038,11,France,
33191224620021,11,France,
33191225070201,11,France,
3864000022,10,Slovenia,
14054728102,10,United States,
14133791007,10,United States,
16466228061,10,United States,
40744001141,10,Romania,Orange
96899300240,10,Oman,Omantel
213770000344,10,Algeria,Djezzy
316530200000,10,Netherlands,
905329242200,10,Türkiye,Turkcell
3319120120380,10,France,
3319120120449,10,France,
33191306940041,10,France,
33191346560042,10,France,
33191491720249,10,France,
96475209002122,10,Iraq,
38161014,9,Serbia,
4741710399,9,Norway,telenor norge
14044558049,9,United States,
24166228883,9,Gabon,Libertis
33609004130,9,France,SFR
35699830927,9,Malta,epic
40744003151,9,Romania,Orange
46735483105,9,Sweden,HI3G Access
97455589811,9,Qatar,ooredoo
218919121104,9,Libya,Al-Madar
393358921000,9,Italy,TIM
420602031000,9,Czechia,O2
420733008201,9,Czechia,T-Mobile
436990071302,9,Austria,Orange AT
905329734400,9,Türkiye,Turkcell
3319120120421,9,France,
33191225070199,9,France,
33191346560034,9,France,
33191346560102,9,France,
331914206080044,9,France,
14378500140,8,Canada,
15622751149,8,United States,
16466228054,8,United States,
33609004150,8,France,SFR
33695000051,8,France,Free Mobile
35988000103,8,Bulgaria,
213770000342,8,Algeria,Djezzy
393358909000,8,Italy,TIM
821196580000,8,"Korea, Republic of",SKTellink
966505011427,8,Saudi Arabia,STC
3319120120397,8,France,
3319120120460,8,France,
33191306940040,8,France,
33191346560005,8,France,
33191346560044,8,France,
33191346560049,8,France,
331914206080040,8,France,
14375500140,7,Canada,
14382760004,7,Canada,
15622751137,7,United States,
213770000347,7,Algeria,Djezzy
306971230000,7,Greece,Cosmote
316530240000,7,Netherlands,
393358873000,7,Italy,TIM
393358931000,7,Italy,TIM
905329445500,7,Türkiye,Turkcell
966505010526,7,Saudi Arabia,STC
3319120120387,7,France,
33191443850104,7,France,
331914219050018,7,France,
35988000102,6,Bulgaria,
46707000202,6,Sweden,Tele2 Sverige
96899300210,6,Oman,Omantel
97333811010,6,Bahrain,VIVA
218919121103,6,Libya,Al-Madar
221766600940,6,Senegal,Free
380673303599,6,Ukraine,Kyivstar
393358826000,6,Italy,TIM
447782000008,6,United Kingdom,Three
905329372200,6,Türkiye,Turkcell
905329724400,6,Türkiye,Turkcell
966505011828,6,Saudi Arabia,STC
966505030313,6,Saudi Arabia,STC
3319136700033,6,France,
33191237690040,6,France,
33191243840254,6,France,
33191346560006,6,France,
33191346560037,6,France,
33191346560047,6,France,
33191417880080,6,France,
38161010,5,Serbia,
38161017,5,Serbia,
38591024,5,Croatia,
14044558047,5,United States,
23599999958,5,Chad,Tigo
24166228888,5,Gabon,Libertis
35699830926,5,Malta,epic
46707000203,5,Sweden,Tele2 Sverige
97455589961,5,Qatar,ooredoo
212661000578,5,Morocco,Maroc Telecom
213661009920,5,Algeria,Mobilis
218919121250,5,Libya,Al-Madar
242055005042,5,Congo,Airtel
393358919000,5,Italy,TIM
393358956000,5,Italy,TIM
447782000006,5,United Kingdom,Three
3319136700007,5,France,
33191226760008,5,France,
33191306940044,5,France,
33191316540008,5,France,
33191346560067,5,France,
2203005277,4,Gambia,QCell
3864000021,4,Slovenia,
4366401020,4,Austria,A1 TA
4528132801,4,Denmark,telia
14054728080,4,United States,
22366700021,4,Mali,Sotelma
23599999924,4,Chad,Tigo
25377890007,4,Djibouti,Evatis
35988000101,4,Bulgaria,
38977000112,4,North Macedonia,A1
46707000201,4,Sweden,Tele2 Sverige
48790991035,4,Poland,Play
96139960123,4,Lebanon,
97259129999,4,Israel,
212661000580,4,Morocco,Maroc Telecom
218919121251,4,Libya,Al-Madar
393358913000,4,Italy,TIM
628160211613,4,Indonesia,Indosat Ooredoo Hutchison
882322001999,4,Country not found,Maritime Communications Partner (MCP)
966505020214,4,Saudi Arabia,STC
3319136700008,4,France,
3319160160033,4,France,
33191229240002,4,France,
33191229950012,4,France,
33191346560059,4,France,
33191346560060,4,France,
33191443850135,4,France,
33191590350053,4,France,
96475209001775,4,Iraq,
331914219050001,4,France,
38591025,3,Croatia,
2207750076,3,Gambia,Africell
3859800604,3,Croatia,
4531303465,3,Denmark,3
8613440341,3,China,
14044558048,3,United States,
15622751140,3,United States,
18255880140,3,Canada,
60120000663,3,Malaysia,Maxis
97259128999,3,Israel,
213770000304,3,Algeria,Djezzy
218919121110,3,Libya,Al-Madar
352091000121,3,Luxembourg,
352621100062,3,Luxembourg,POST
359898000135,3,Bulgaria,Telenor
387630000014,3,Bosnia and Herzegovina,
393358880000,3,Italy,TIM
393358933000,3,Italy,TIM
420602034000,3,Czechia,O2
447782000002,3,United Kingdom,Three
447782000004,3,United Kingdom,Three
905329442200,3,Türkiye,Turkcell
966505022321,3,Saudi Arabia,STC
966505022414,3,Saudi Arabia,STC
3319160160037,3,France,
33191237690047,3,France,
33191306940037,3,France,
33191346070243,3,France,
33191346560024,3,France,
33191972560030,3,France,
2694000100,2,Comoros,TELCO
3548900093,2,Iceland,Síminn
3859800600,2,Croatia,
4528132701,2,Denmark,telia
4531303405,2,Denmark,3
4792003990,2,Norway,telia
8613746280,2,China,
12368500140,2,Canada,
22222997000,2,Mauritania,Chinguitel
22890600070,2,Togo,Togo Telecom
23599999959,2,Chad,Tigo
33660001003,2,France,Bouygues
35699418514,2,Malta,epic
38765500083,2,Bosnia and Herzegovina,m:tel
38977000111,2,North Macedonia,A1
46708000032,2,Sweden,Telenor Sverige
60120000664,2,Malaysia,Maxis
60120000665,2,Malaysia,Maxis
66942500030,2,Thailand,DTAC
66942500031,2,Thailand,DTAC
66942500033,2,Thailand,DTAC
96139960127,2,Lebanon,
96139960140,2,Lebanon,
97259127999,2,Israel,
97333810010,2,Bahrain,VIVA
97336019902,2,Bahrain,zain BH
212661000633,2,Morocco,Maroc Telecom
212661000760,2,Morocco,Maroc Telecom
212661000762,2,Morocco,Maroc Telecom
213770000319,2,Algeria,Djezzy
352091000122,2,Luxembourg,
393358934000,2,Italy,TIM
447782000009,2,United Kingdom,Three
491710460000,2,Germany,T-Mobile
491710530000,2,Germany,T-Mobile
550101101034,2,Brazil,
550118501650,2,Brazil,
551184138785,2,Brazil,
792644233932,2,Russian Federation,
905329342200,2,Türkiye,Turkcell
919845286048,2,India,Airtel
963931099467,2,Syrian Arab Republic,Syriatel
966505020915,2,Saudi Arabia,STC
966505022318,2,Saudi Arabia,STC
966505091894,2,Saudi Arabia,STC
2348050001161,2,Nigeria,Glo
3319164210009,2,France,
3584576022145,2,Finland,DNA
3584576022146,2,Finland,DNA
33191230960003,2,France,
33191237690049,2,France,
33191316540013,2,France,
33191346070145,2,France,
33191346070227,2,France,
33191346070273,2,France,
33191346560029,2,France,
33191346560045,2,France,
33191353870024,2,France,
33191353870025,2,France,
33191407220040,2,France,
33191417880079,2,France,
33191523330001,2,France,
33191905420262,2,France,
33191905420301,2,France,
33191972560031,2,France,
96475209001925,2,Iraq,
331918529210048,2,France,
38591023,1,Croatia,
2389909941,1,Cabo Verde,CVMOVEL
3725097007,1,Estonia,Telia Eesti AS
4540150021,1,Denmark,tdc
4540699762,1,Denmark,telenor
8491020312,1,Viet Nam,
8491020314,1,Viet Nam,
8613254116,1,China,
8613254120,1,China,
8613254515,1,China,
8613440502,1,China,
8613442371,1,China,
8613442406,1,China,
8613443559,1,China,
8613444332,1,China,
8613444333,1,China,
8613444358,1,China,
8613444450,1,China,
8613444901,1,China,
8613444968,1,China,
8613447425,1,China,
8613746274,1,China,
8613746282,1,China,
8615654539,1,China,
9607769002,1,Maldives,Dhiraagu
16473840003,1,Canada,
17057969814,1,Canada,
18255800140,1,Canada,
21350001128,1,Algeria,
22899999777,1,Togo,Moov
22899999797,1,Togo,Moov
23170000040,1,Liberia,
23599999923,1,Chad,Tigo
25769001052,1,Burundi,Viettel
26097191962,1,Zambia,
26097191988,1,Zambia,
31624000060,1,Netherlands,T-Mobile
33660001066,1,France,Bouygues
33660001082,1,France,Bouygues
33695000059,1,France,Free Mobile
34609193206,1,Spain,Movistar
35699418504,1,Malta,epic
35796967051,1,Cyprus,MTN
36309489971,1,Hungary,Magyar Telekom
36309489972,1,Hungary,Magyar Telekom
37069950018,1,Lithuania,BITĖ
37069950019,1,Lithuania,BITĖ
37125850003,1,Latvia,Bite Latvia
37129899950,1,Latvia,Tele2
37256100080,1,Estonia,Elisa
37491000502,1,Armenia,Team Telecom Armenia
38163100310,1,Serbia,Telenor
38267100080,1,Montenegro,Telekom
38641003001,1,Slovenia,Telekom Slovenije
38641005001,1,Slovenia,Telekom Slovenije
40766000230,1,Romania,Telekom
48601000111,1,Poland,Plus
50670000105,1,Costa Rica,Claro
54079000120,1,Argentina,
54079000121,1,Argentina,
61415013002,1,Australia,Vodafone
61481630098,1,Australia,Optus
61481640099,1,Australia,Optus
66942500032,1,Thailand,DTAC
67581000102,1,Papua New Guinea,Vodafone
77050000011,1,Kazakhstan,Beeline
77050000060,1,Kazakhstan,Beeline
79011541099,1,Russian Federation,
79016289599,1,Russian Federation,Dani CALL
79016481099,1,Russian Federation,
79016481999,1,Russian Federation,
79037033999,1,Russian Federation,Beeline
79646769999,1,Russian Federation,Beeline
79682269999,1,Russian Federation,Beeline
79697338999,1,Russian Federation,Beeline
79942611999,1,Russian Federation,
85290184076,1,Hong Kong,SmarTone
88299102000,1,Country not found,
88299102001,1,Country not found,
96139960239,1,Lebanon,
96139960240,1,Lebanon,
96394107000,1,Syrian Arab Republic,
96899300255,1,Oman,Omantel
99599599902,1,Georgia,
201059960163,1,Egypt,Vodafone
201059960164,1,Egypt,Vodafone
201059960169,1,Egypt,Vodafone
212661000575,1,Morocco,Maroc Telecom
212661000636,1,Morocco,Maroc Telecom
213770000341,1,Algeria,Djezzy
213770000348,1,Algeria,Djezzy
218929999977,1,Libya,Libyana
220609899900,1,Gambia,
240556000102,1,Equatorial Guinea,Muni
242055005043,1,Congo,Airtel
244920043411,1,Angola,UNITEL
244920043421,1,Angola,UNITEL
244920043428,1,Angola,UNITEL
244920043438,1,Angola,UNITEL
250720001100,1,Rwanda,TIGO
251911299903,1,Ethiopia,Ethio Telecom
251911299909,1,Ethiopia,Ethio Telecom
254722500622,1,Kenya,Safaricom
254733000500,1,Kenya,Airtel
255711010096,1,"Tanzania, United Republic of",tiGO
263712191410,1,Zimbabwe,Net*One
306971220000,1,Greece,Cosmote
352621100063,1,Luxembourg,POST
353857000172,1,Ireland,Meteor
353868003996,1,Ireland,O2
355680200009,1,Albania,
358409709652,1,Finland,Telia
387630000013,1,Bosnia and Herzegovina,
393205950100,1,Italy,WIND
393205950400,1,Italy,WIND
393358877000,1,Italy,TIM
393358879000,1,Italy,TIM
393358884000,1,Italy,TIM
393358885000,1,Italy,TIM
393358887000,1,Italy,TIM
393358917000,1,Italy,TIM
393358925000,1,Italy,TIM
393358926000,1,Italy,TIM
393358945000,1,Italy,TIM
393358950000,1,Italy,TIM
393358973000,1,Italy,TIM
393358988000,1,Italy,TIM
447953707126,1,United Kingdom,EE
491710330000,1,Germany,T-Mobile
491710400000,1,Germany,T-Mobile
491710470000,1,Germany,T-Mobile
550064701000,1,Brazil,
550066101000,1,Brazil,
550101101035,1,Brazil,
550101501001,1,Brazil,
573008690065,1,Colombia,Tigo
595982799011,1,Paraguay,Tigo
628160211606,1,Indonesia,Indosat Ooredoo Hutchison
628160211626,1,Indonesia,Indosat Ooredoo Hutchison
628160211632,1,Indonesia,Indosat Ooredoo Hutchison
639170000151,1,Philippines,Globe
639170000153,1,Philippines,Globe
639170000156,1,Philippines,Globe
639170000159,1,Philippines,Globe
792196004139,1,Russian Federation,
792229009901,1,Russian Federation,
792644233933,1,Russian Federation,
792644233934,1,Russian Federation,
819066519158,1,Japan,Softbank
905329373300,1,Türkiye,Turkcell
905329732200,1,Türkiye,Turkcell
919820005003,1,India,Vodafone
919825501002,1,India,Vodafone
919845286037,1,India,Airtel
919845286041,1,India,Airtel
919935152051,1,India,Airtel
963931099465,1,Syrian Arab Republic,Syriatel
963931099466,1,Syrian Arab Republic,Syriatel
966505022315,1,Saudi Arabia,STC
966505022316,1,Saudi Arabia,STC
966505022319,1,Saudi Arabia,STC
966505071894,1,Saudi Arabia,STC
966505081894,1,Saudi Arabia,STC
966560142007,1,Saudi Arabia,Mobily
966560148007,1,Saudi Arabia,Mobily
966560165007,1,Saudi Arabia,Mobily
966560170007,1,Saudi Arabia,Mobily
989350003190,1,"Iran, Islamic Republic of",Irancell
2348050005151,1,Nigeria,Glo
3319127820046,1,France,
3319127820283,1,France,
3319160160035,1,France,
3319164210046,1,France,
9647802998922,1,Iraq,Zain
33191229950019,1,France,
33191229950020,1,France,
33191229950023,1,France,
33191230250004,1,France,
33191230960010,1,France,
33191232760003,1,France,
33191233200001,1,France,
33191243840261,1,France,
33191245950015,1,France,
33191255750037,1,France,
33191258840001,1,France,
33191261320010,1,France,
33191346070100,1,France,
33191346070230,1,France,
33191346560018,1,France,
33191346560030,1,France,
33191346560053,1,France,
33191351910047,1,France,
33191351910048,1,France,
33191355690011,1,France,
33191407220038,1,France,
33191407220039,1,France,
33191443850204,1,France,
33191443850213,1,France,
33191443850214,1,France,
33191523330006,1,France,
33191523330026,1,France,
33191523330028,1,France,
33191523330029,1,France,
33191687770002,1,France,
33191905420130,1,France,
33191905420143,1,France,
33191905420259,1,France,
33191905420281,1,France,
33191905420290,1,France,
33191905420318,1,France,
96475209002121,1,Iraq,
331911809850021,1,France,
331912547700008,1,France,
331912626920025,1,France,
331913736910008,1,France,
819054209580358,1,Japan,
819054209640266,1,Japan,
819054209670357,1,Japan,
819054209700215,1,Japan,
819054209890260,1,Japan,
819054209910276,1,Japan,
819054209930264,1,Japan,
819054209940274,1,Japan,
819054209940453,1,Japan,
819054209950447,1,Japan,
