HLRADDR,Number of SUBS,NSUBA,Country Name,Operator
4-639180009000,6,2,Philippines,Smart
4-33609009912,59,45,France,SFR
4-33689002870,315,276,France,Orange France
4-33191221770048,74,57,France,
4-491700600301,11,8,Germany,T-Mobile
4-14054729348,4,4,United States,
4-447953700223,8,7,United Kingdom,EE
4-491700600106,8,8,Germany,T-Mobile
4-33191346560172,22,22,France,
4-639180008986,4,1,Philippines,Smart
4-491700600300,7,6,Germany,T-Mobile
4-33191236720149,31,28,France,
4-97477920100,25,18,Qatar,Vodafone
4-48790993810,164,136,Poland,Play
4-352621100057,105,67,Luxembourg,POST
4-33191356940085,41,10,France,
4-947100081,1,1,Sri Lanka,
4-32495000630,87,76,Belgium,Orange
4-212602790326,48,42,Morocco,Inwi
4-447953700220,5,4,United Kingdom,EE
4-447782001260,1,1,United Kingdom,Three
4-31624000283,16,12,Netherlands,T-Mobile
4-352021100056,54,45,Luxembourg,
4-447953700251,2,2,United Kingdom,EE
4-447802002748,10,10,United Kingdom,O2
4-639180009015,2,2,Philippines,Smart
4-33191000001,3,3,France,
4-447953700213,15,12,United Kingdom,EE
4-30971460010,4,0,Greece,
4-19037029904,20,18,United States,
4-883130000011000,395,199,Country not found,
4-447802002736,7,6,United Kingdom,O2
4-917021075029,4,4,India,Reliance Jio
4-34609190447,22,19,Spain,Movistar
4-447488200008,33,28,United Kingdom,Sky
4-393358840738034,62,49,Country not found,Operator not found
4-639170000369,21,12,Philippines,Globe
4-19703769807,31,9,United States,
4-447802002731,17,17,United Kingdom,O2
4-447953700216,25,21,United Kingdom,EE
4-33191346560178,1,1,France,
4-447802002260,41,29,United Kingdom,O2
4-447953700210,12,11,United Kingdom,EE
4-971500186083,4,3,United Arab Emirates,Etisalat
4-393205800014,15,12,Italy,WIND
4-34642200028,18,15,Spain,DigiMobil
4-250720005010,2,2,Rwanda,TIGO
4-13603399047,3,2,United States,
4-36309489900,33,29,Hungary,Magyar Telekom
4-550117102008,1,1,Brazil,
4-13603399660,98,17,United States,
4-6281107108,54,40,Indonesia,
4-447953700236,5,4,United Kingdom,EE
4-491760003018,10,9,Germany,
4-14054729347,9,8,United States,
4-33689002878,150,119,France,Orange France
4-19703769843,47,30,United States,
4-447782000227,2,0,United Kingdom,Three
4-33609009915,52,44,France,SFR
4-41765900130,210,176,Switzerland,Sunrise
4-16473840081,71,59,Canada,
4-447953700254,9,8,United Kingdom,EE
4-491700600160,9,6,Germany,T-Mobile
4-491700600131,4,3,Germany,T-Mobile
4-254722500120,8,7,Kenya,Safaricom
4-46707000400,7,7,Sweden,Tele2 Sverige
4-31624000284,8,8,Netherlands,T-Mobile
4-33191393490258,12,10,France,
4-393358840759819,72,52,Country not found,Operator not found
4-34622993899,121,91,Spain,Yoigo
4-33191233240020,38,29,France,
4-821196580000,31,27,"Korea, Republic of",SKTellink
4-14054729323,5,4,United States,
4-33191346560173,6,6,France,
4-14054729227,5,5,United States,
4-14174000022,611,459,United States,
4-32486000006,157,130,Belgium,Telenet
4-882285000008000,193,9,Country not found,
4-491760003003,28,24,Germany,
4-19703769806,25,9,United States,
4-40770000029,19,16,Romania,Digi Mobil
4-79262004640,5,4,Russian Federation,MegaFon
4-821080010585,10,8,"Korea, Republic of",LG U+
4-22222997007,62,50,Mauritania,Chinguitel
4-491760003021,11,11,Germany,
4-447488200536,42,40,United Kingdom,Sky
4-447488200636,10,7,United Kingdom,Sky
4-491760003016,17,12,Germany,
4-201059968077,14,13,Egypt,Vodafone
4-417949983007008,59,50,Switzerland,
4-32475002533,96,84,Belgium,Proximus
4-79167494123,2,2,Russian Federation,
4-33191491720132,12,12,France,
4-96596909414,30,25,Kuwait,Zain
4-393358815162,12,10,Italy,TIM
4-254722500118,5,4,Kenya,Safaricom
4-33689002871,24,21,France,Orange France
4-436760182220,4,4,Austria,T-Mobile AT
4-33191393490276,13,10,France,
4-201059968073,10,7,Egypt,Vodafone
4-14054729356,10,8,United States,
4-14054729191,11,11,United States,
4-316530860010,39,37,Netherlands,
4-14054729350,2,2,United States,
4-882285000001104,4,0,Country not found,
4-33191222400020,238,188,France,
4-40744009900,80,76,Romania,Orange
4-3319127830035,11,10,France,
4-447797707015,45,11,Jersey,JT
4-14054729242,6,6,United States,
4-46707990051,60,34,Sweden,Tele2 Sverige
4-420733087401,6,5,Czechia,T-Mobile
4-8613452410000,2,1,China,China Mobile
4-79016481192,27,23,Russian Federation,
4-33191224660015,88,66,France,
4-919849005532,9,7,India,Airtel
4-3319120120439,4,4,France,
4-33609009917,42,37,France,SFR
4-30971460011,3,2,Greece,
4-46705003207,2,2,Sweden,TeliaSonera
4-447953700239,2,1,United Kingdom,EE
4-201059968069,13,11,Egypt,Vodafone
4-351960995064,5,4,Portugal,MEO
4-3319127820096,4,3,France,
4-3319120120470,5,5,France,
4-639180009002,3,1,Philippines,Smart
4-447953700209,21,18,United Kingdom,EE
4-33609009901,48,42,France,SFR
4-79289900080,2,2,Russian Federation,MegaFon
4-37129899920,11,10,Latvia,Tele2
4-436990041202,193,158,Austria,Orange AT
4-77050000026,17,16,Kazakhstan,Beeline
4-14054729248,8,7,United States,
4-33689002876,248,214,France,Orange France
4-447782000116,5,1,United Kingdom,Three
4-491760003015,10,10,Germany,
4-447953700249,5,5,United Kingdom,EE
4-33191346560160,16,14,France,
4-447953700253,4,3,United Kingdom,EE
4-33191485010103,23,22,France,
4-33609009910,53,47,France,SFR
4-33609009906,53,41,France,SFR
4-491760003002,14,12,Germany,
4-447953700215,18,18,United Kingdom,EE
4-491700600156,5,4,Germany,T-Mobile
4-33191491720149,12,9,France,
4-24166228882,52,46,Gabon,Libertis
4-46705003203,4,4,Sweden,TeliaSonera
4-14054729215,7,7,United States,
4-201059968078,10,9,Egypt,Vodafone
4-639180009012,3,1,Philippines,Smart
4-447953700259,6,4,United Kingdom,EE
4-324860006004001,59,52,Belgium,
4-201059968085,9,6,Egypt,Vodafone
4-33191491720124,15,14,France,
4-31624000282,15,14,Netherlands,T-Mobile
4-8190542119851,8,8,Japan,
4-33609009914,47,36,France,SFR
4-905329326000,93,82,Türkiye,Turkcell
4-32495005650,73,44,Belgium,Orange
4-201059968201,11,9,Egypt,Vodafone
4-79167494186,1,1,Russian Federation,
4-14054729247,6,6,United States,
4-8190542112854,1,0,Japan,
4-919892123847,18,14,India,Airtel
4-447953700202,19,17,United Kingdom,EE
4-14054729239,6,4,United States,
4-19039326957,2,2,United States,
4-46707000275,3,3,Sweden,Tele2 Sverige
4-33191245950030,8,7,France,
4-491700600155,4,3,Germany,T-Mobile
4-8613506310000,1,1,China,China Mobile
4-33191417880087,52,47,France,
4-491700600140,6,4,Germany,T-Mobile
4-639170000359,18,6,Philippines,Globe
4-201059968205,3,2,Egypt,Vodafone
4-19703769810,102,20,United States,
4-14054729238,3,3,United States,
4-13603399653,12,0,United States,
4-14054729231,5,4,United States,
4-37069950000,29,28,Lithuania,BITĖ
4-3319120120445,9,7,France,
4-33191229950034,16,14,France,
4-919896283971,2,1,India,Airtel
4-79112009903,7,7,Russian Federation,
4-33191393490249,8,6,France,
4-491700600304,10,4,Germany,T-Mobile
4-201059968068,11,7,Egypt,Vodafone
4-491700600157,8,8,Germany,T-Mobile
4-32495000300,3,3,Belgium,Orange
4-14054729340,6,5,United States,
4-33191229970017,29,21,France,
4-33191231880011,3,2,France,
4-436760182223,4,3,Austria,T-Mobile AT
4-201059968082,5,5,Egypt,Vodafone
4-919935060110,20,17,India,Airtel
4-37125850000,9,8,Latvia,Bite Latvia
4-324750007320406,7,7,Belgium,
4-420733087404,10,10,Czechia,T-Mobile
4-33191393490271,17,13,France,
4-353830000250,26,21,Ireland,3
4-8615737490000,3,3,China,China Mobile
4-14047259013,5,4,United States,
4-19703769829,106,60,United States,
4-48602003041,26,22,Poland,T-Mobile
4-33191491720169,13,10,France,
4-33191346560181,13,12,France,
4-447953700233,6,6,United Kingdom,EE
4-447782000113,5,3,United Kingdom,Three
4-33191316540091,52,41,France,
4-491700600310,2,2,Germany,T-Mobile
4-3319120120441,7,7,France,
4-4366401100,49,42,Austria,A1 TA
4-8617842050000,1,0,China,China Mobile
4-33609009911,48,37,France,SFR
4-447802002730,16,15,United Kingdom,O2
4-14054729190,8,7,United States,
4-8613334262000,14,13,China,China Telecom
4-33191491720099,8,6,France,
4-33689002872,20,13,France,Orange France
4-14054729317,8,8,United States,
4-19703769832,34,15,United States,
4-4528133316,2,2,Denmark,telia
4-21650000099,3,1,Tunisia,Orange
4-14054729319,9,9,United States,
4-33191393490251,10,9,France,
4-79112009905,7,7,Russian Federation,
4-79167494136,1,1,Russian Federation,
4-491700600121,4,4,Germany,T-Mobile
4-919820005392043,1,1,India,
4-33191491720168,10,10,France,
4-393533000028,10,9,Italy,
4-79529480192,3,1,Russian Federation,Tele2
4-33191491720158,15,15,France,
4-33191393490260,9,7,France,
4-19703769842,69,35,United States,
4-966505000000,172,154,Saudi Arabia,STC
4-447802002261,1,1,United Kingdom,O2
4-33191316540258,21,19,France,
4-491760003017,8,8,Germany,
4-882470000001001,20,15,Country not found,
4-48881100010,157,133,Poland,Plus
4-8613601640000,6,6,China,China Mobile
4-14054729352,4,4,United States,
4-33191962770199,13,10,France,
4-14054729243,6,6,United States,
4-46708000000,11,9,Sweden,Telenor Sverige
4-33191250780012,12,11,France,
4-491700600114,4,3,Germany,T-Mobile
4-447953700256,6,6,United Kingdom,EE
4-33191346560146,20,16,France,
4-79014951192,9,6,Russian Federation,
4-33191393490265,6,4,France,
4-33191485010414,24,23,France,
4-14054729249,6,5,United States,
4-19703769823,25,14,United States,
4-14054729245,7,4,United States,
4-3725509961,1,0,Estonia,Tele 2
4-33191393490277,11,9,France,
4-3319120120437,5,4,France,
4-352091000110,23,17,Luxembourg,
4-447953700211,22,20,United Kingdom,EE
4-3319120120434,10,9,France,
4-33191491720142,11,10,France,
4-46705003205,3,3,Sweden,TeliaSonera
4-37129201245,39,32,Latvia,LMT
4-14054729320,4,4,United States,
4-12085978676,4,4,United States,
4-201059968087,7,6,Egypt,Vodafone
4-393533000029,9,7,Italy,
4-447559499030,44,36,United Kingdom,Truphone
4-8614770870000,1,1,China,China Mobile
4-48601000061,4,2,Poland,Plus
4-84980200080,3,1,Viet Nam,Viettel
4-421949901073,2,2,Slovakia,Telefonica O2
4-447781002015,4,4,Guernsey,Sure
4-33689008126,34,31,France,Orange France
4-33191407220043,20,19,France,
4-19703769809,135,28,United States,
4-37068499230,19,18,Lithuania,Tele 2
4-491700600124,2,2,Germany,T-Mobile
4-639180009010,5,2,Philippines,Smart
4-33191590350057,3,2,France,
4-436990071296,4,4,Austria,Orange AT
4-37069899881,13,13,Lithuania,Telia
4-37069899883,11,10,Lithuania,Telia
4-33191243840259,2,2,France,
4-447802002732,6,6,United Kingdom,O2
4-201059968075,3,3,Egypt,Vodafone
4-491700600116,5,5,Germany,T-Mobile
4-447953700238,7,6,United Kingdom,EE
4-21350001272,21,13,Algeria,
4-40770000028,32,28,Romania,Digi Mobil
4-249912090342,1,1,Sudan,Zain
4-639180009019,3,0,Philippines,Smart
4-639180009018,4,0,Philippines,Smart
4-12085978680,7,6,United States,
4-861395810000,5,3,China,
4-919934129300,8,8,India,Airtel
4-14054729234,4,3,United States,
4-2250101099707,12,11,Côte d'Ivoire,Moov
4-447953700203,24,23,United Kingdom,EE
4-447953700205,18,16,United Kingdom,EE
4-14054729203,4,3,United States,
4-14054729325,6,6,United States,
4-916362784242,6,3,India,Reliance Jio
4-79942611192,24,20,Russian Federation,
4-491700600122,6,5,Germany,T-Mobile
4-331912348030038,136,110,France,
4-393358815112,9,8,Italy,TIM
4-33191243810046,13,11,France,
4-14054729220,5,5,United States,
4-31624000286,6,6,Netherlands,T-Mobile
4-8613470190000,1,1,China,China Mobile
4-33191491720130,12,11,France,
4-30971460008,4,3,Greece,
4-447802002263,3,3,United Kingdom,O2
4-491760003019,14,11,Germany,
4-19703769833,44,23,United States,
4-491760003005,10,9,Germany,
4-491760003014,17,17,Germany,
4-352061000250,9,8,Luxembourg,
4-331911514420007,8,6,France,
4-14054729327,6,6,United States,
4-447953700248,8,7,United Kingdom,EE
4-97339600862,9,8,Bahrain,Batelco
4-37069899882,16,16,Lithuania,Telia
4-491700600117,7,4,Germany,T-Mobile
4-2694000105,10,8,Comoros,TELCO
4-33191491720171,12,11,France,
4-447953700257,7,5,United Kingdom,EE
4-33191393490332,25,19,France,
4-14054729230,6,5,United States,
4-46705003206,4,2,Sweden,TeliaSonera
4-14054729237,6,5,United States,
4-336110000332001,2,2,France,
4-33191491720174,10,9,France,
4-201059968079,5,4,Egypt,Vodafone
4-34642200027,16,13,Spain,DigiMobil
4-353857000880,8,5,Ireland,Meteor
4-8613772450000,2,2,China,China Mobile
4-491700600306,9,4,Germany,T-Mobile
4-447488200437,34,30,United Kingdom,Sky
4-447953700243,1,1,United Kingdom,EE
4-46705003202,5,5,Sweden,TeliaSonera
4-33191491720167,6,6,France,
4-331914219050004,8,7,France,
4-639180009008,2,1,Philippines,Smart
4-491700600151,4,3,Germany,T-Mobile
4-14054729324,9,8,United States,
4-447953700234,8,8,United Kingdom,EE
4-639180009013,6,3,Philippines,Smart
4-491700600154,4,3,Germany,T-Mobile
4-33191443850194,9,7,France,
4-35699418500,26,19,Malta,epic
4-48881101163,1,1,Poland,Plus
4-61415011022,1,1,Australia,Vodafone
4-33191485010110,27,22,France,
4-447953700208,16,15,United Kingdom,EE
4-491700600113,5,5,Germany,T-Mobile
4-436990071205,18,18,Austria,Orange AT
4-21650000044,810923,763579,Tunisia,Orange
4-31624000287,12,11,Netherlands,T-Mobile
4-861958467000,3,3,China,
4-3319120120442,8,7,France,
4-324750007315605,5,5,Belgium,
4-48602003042,18,12,Poland,T-Mobile
4-447782000232,3,2,United Kingdom,Three
4-639180009001,4,3,Philippines,Smart
4-19703769828,118,59,United States,
4-324750007324303,25,20,Belgium,
4-919820405700,6,4,India,Vodafone
4-3319120120448,7,6,France,
4-96139960265,22,20,Lebanon,
4-31624000285,8,8,Netherlands,T-Mobile
4-4792001161,13,12,Norway,telia
4-14054729206,4,3,United States,
4-491700600111,6,6,Germany,T-Mobile
4-4790000950,25,23,Norway,telenor norge
4-491760003004,16,13,Germany,
4-33191351930065,31,28,France,
4-201059968076,7,5,Egypt,Vodafone
4-34642200029,27,20,Spain,DigiMobil
4-447953700222,7,7,United Kingdom,EE
4-883170000000002,8,2,Country not found,
4-33191346560155,14,12,France,
4-33191485010086,22,21,France,
4-491700600123,6,4,Germany,T-Mobile
4-14054729366,7,7,United States,
4-21350001271,18,12,Algeria,
4-33191485010108,23,17,France,
4-919816001268,4,4,India,Airtel
4-33191905420191,4,3,France,
4-447953700214,18,18,United Kingdom,EE
4-447802002747,4,4,United Kingdom,O2
4-491760003013,18,13,Germany,
4-491700600305,9,6,Germany,T-Mobile
4-14054729232,6,6,United States,
4-8615797220000,2,1,China,China Mobile
4-491700600146,6,6,Germany,T-Mobile
4-12404492438,10,8,United States,
4-324750004055602,2,2,Belgium,
4-919932029188,1,1,India,Airtel
4-14054729311,5,5,United States,
4-8613748602,2,2,China,
4-37256100083,6,5,Estonia,Elisa
4-33191393490257,18,16,France,
4-33191211920001,1,0,France,
4-491700600145,3,3,Germany,T-Mobile
4-19039326974,2,1,United States,
4-33689002900,26,17,France,Orange France
4-33191346560152,13,10,France,
4-421903002023,2,2,Slovakia,T-Mobile (Slovak Telekom)
4-33191491720143,12,10,France,
4-14054729331,8,8,United States,
4-33191393490266,12,8,France,
4-8190542113894,1,0,Japan,
4-33191393490341,22,17,France,
4-33191346560154,15,14,France,
4-447953700204,26,18,United Kingdom,EE
4-14054729333,6,6,United States,
4-14054729202,3,2,United States,
4-34609092030,28,20,Spain,Movistar
4-14054729335,6,6,United States,
4-447782000230,5,3,United Kingdom,Three
4-79270009045,10,9,Russian Federation,MegaFon
4-14054729349,6,6,United States,
4-447782000246,5,2,United Kingdom,Three
4-35677794012,7,5,Malta,Melita Mobile
4-447953700206,19,16,United Kingdom,EE
4-14054729223,5,4,United States,
4-48601000062,5,5,Poland,Plus
4-14054729212,10,8,United States,
4-61411999020,4,1,Australia,Optus
4-491760003010,10,9,Germany,
4-4792001159,8,8,Norway,telia
4-447953700207,15,15,United Kingdom,EE
4-447782000220,2,1,United Kingdom,Three
4-14054729244,5,5,United States,
4-33191346560162,11,10,France,
4-48601000069,5,4,Poland,Plus
4-14054729334,3,3,United States,
4-2348050001018,11,9,Nigeria,Glo
4-4366401030,71,5,Austria,A1 TA
4-393533000027,15,15,Italy,
4-324750004001309,2,2,Belgium,
4-417949983007012,21,20,Switzerland,
4-14047259018,3,3,United States,
4-14054729354,4,4,United States,
4-14054729345,2,1,United States,
4-491760003009,20,17,Germany,
4-21650000043,811208,763971,Tunisia,Orange
4-14054729332,6,5,United States,
4-447802000224,6,5,United Kingdom,O2
4-331914206080026,31,29,France,
4-14047259019,2,2,United States,
4-33609009916,45,36,France,SFR
4-79112009901,4,4,Russian Federation,
4-7921960096490,9,8,Russian Federation,
4-14054729346,4,4,United States,
4-917020075020,3,1,India,Reliance Jio
4-14382760066,1,1,Canada,
4-8614755420000,1,0,China,China Mobile
4-79167494229,2,2,Russian Federation,
4-33191229240005,7,7,France,
4-19703769808,15,5,United States,
4-358402001001,4,4,Finland,Telia
4-8614735630000,1,1,China,China Mobile
4-33609009903,56,41,France,SFR
4-33191905420166,1,1,France,
4-33191491720145,10,9,France,
4-79167494250,5,5,Russian Federation,
4-33191905420292,1,1,France,
4-491700600303,9,6,Germany,T-Mobile
4-639180009004,1,0,Philippines,Smart
4-66923010450,1,1,Thailand,AIS
4-79219600076,15,13,Russian Federation,MegaFon
4-14054729359,5,5,United States,
4-201059968089,8,8,Egypt,Vodafone
4-79012275192,2,2,Russian Federation,
4-491700600159,5,5,Germany,T-Mobile
4-3319120120446,4,4,France,
4-8613334113000,6,5,China,China Telecom
4-447953700212,12,10,United Kingdom,EE
4-33191962770198,9,7,France,
4-33191346070467,66,49,France,
4-447953700240,7,6,United Kingdom,EE
4-33191243840013,41,39,France,
4-8613466470000,3,3,China,China Mobile
4-48881109012,3,3,Poland,Plus
4-971550930009,93,82,United Arab Emirates,du
4-33191491720131,10,10,France,
4-48601000060,3,3,Poland,Plus
4-8615905320000,2,2,China,China Mobile
4-48601000070,7,7,Poland,Plus
4-491760003023,18,16,Germany,
4-14054729364,8,8,United States,
4-447953700241,2,2,United Kingdom,EE
4-33191393490331,35,26,France,
4-13603399656,2,0,United States,
4-22890600000,5,5,Togo,Togo Telecom
4-358402001005,2,1,Finland,Telia
4-33191268760001,1,1,France,
4-14054729365,7,6,United States,
4-31624000281,11,9,Netherlands,T-Mobile
4-989110014,7,4,"Iran, Islamic Republic of",
4-62816081125,5,5,Indonesia,Indosat Ooredoo Hutchison
4-22670900007,48,40,Burkina Faso,Onatel
4-971550930007,34,28,United Arab Emirates,du
4-491700600104,8,8,Germany,T-Mobile
4-447782000242,2,0,United Kingdom,Three
4-919840011921,3,3,India,Airtel
4-8190542117850,1,1,Japan,
4-33191905420161,2,1,France,
4-33191353870058,12,1,France,
4-8613460450000,2,2,China,China Mobile
4-13123149271,7,6,United States,
4-447953700225,9,9,United Kingdom,EE
4-48601000064,4,3,Poland,Plus
4-14054729224,4,3,United States,
4-46731260001,6,5,Sweden,Telenor Connexion
4-33191346070740,2,1,France,
4-420733087402,8,7,Czechia,T-Mobile
4-33689002864,1,1,France,Orange France
4-14054729318,6,6,United States,
4-48881109008,1,1,Poland,Plus
4-491700600127,2,2,Germany,T-Mobile
4-14054729213,7,6,United States,
4-12085978678,7,6,United States,
4-14054729198,3,2,United States,
4-14054729310,6,6,United States,
4-12404492440,8,8,United States,
4-33609009904,58,47,France,SFR
4-4792001160,9,6,Norway,telia
4-14054729321,1,1,United States,
4-491700600139,4,4,Germany,T-Mobile
4-351960995063,4,3,Portugal,MEO
4-447802000252,2,2,United Kingdom,O2
4-8613641130000,3,3,China,China Mobile
4-21350001273,15,9,Algeria,
4-919894000048,3,2,India,Airtel
4-491700600108,3,3,Germany,T-Mobile
4-96541003520,1,0,Kuwait,Virgin mobile
4-550022102003,5,5,Brazil,
4-97259132999,17,17,Israel,
4-861476740000,3,2,China,
4-201059968208,11,9,Egypt,Vodafone
4-61415011016,1,1,Australia,Vodafone
4-883390000000000,1,1,Country not found,
4-14054729353,8,8,United States,
4-447953700201,19,16,United Kingdom,EE
4-97333810260,5,5,Bahrain,VIVA
4-242055005047,19,18,Congo,Airtel
4-447953700245,4,3,United Kingdom,EE
4-61415011020,1,1,Australia,Vodafone
4-14054729201,3,3,United States,
4-33191393490264,11,7,France,
4-14054729194,4,4,United States,
4-33191485010102,35,33,France,
4-336110000099413,6,3,France,
4-491760003024,14,12,Germany,
4-50495269670,4,3,Honduras,Celtel (Tigo)
4-447782000223,2,1,United Kingdom,Three
4-8614778410000,4,3,China,China Mobile
4-3319127820090,1,1,France,
4-33609009902,38,32,France,SFR
4-436760182231,1,1,Austria,T-Mobile AT
4-491700600135,6,6,Germany,T-Mobile
4-358402001004,9,9,Finland,Telia
4-33191905420284,2,2,France,
4-447953700232,7,6,United Kingdom,EE
4-33689008252,2,2,France,Orange France
4-33191374950021,1,1,France,
4-14054729363,7,7,United States,
4-491700600141,3,2,Germany,T-Mobile
4-46735487101,10,8,Sweden,HI3G Access
4-33609009170,1,1,France,SFR
4-14054729328,8,8,United States,
4-491700600161,2,1,Germany,T-Mobile
4-447953700247,9,8,United Kingdom,EE
4-447782000229,2,1,United Kingdom,Three
4-3319120120444,10,10,France,
4-385910930,3,2,Croatia,
4-14054729211,3,3,United States,
4-8615021040000,2,1,China,China Mobile
4-33191485010107,24,19,France,
4-491700600134,4,2,Germany,T-Mobile
4-201059968084,11,10,Egypt,Vodafone
4-9477000253,7,4,Sri Lanka,
4-550101102069,1,1,Brazil,
4-447797707076,7,0,Jersey,JT
4-3319160160029,4,4,France,
4-8614750350000,1,1,China,China Mobile
4-8613436740000,4,1,China,China Mobile
4-447953700229,11,10,United Kingdom,EE
4-14054729222,3,3,United States,
4-8613870840000,4,4,China,China Mobile
4-14054729339,10,10,United States,
4-3319120120440,12,11,France,
4-201059968207,7,5,Egypt,Vodafone
4-14054729193,7,6,United States,
4-919890064505,7,4,India,Airtel
4-4540390932,12,10,Denmark,tdc
4-14054729210,5,4,United States,
4-447953700237,10,9,United Kingdom,EE
4-40770000027,22,17,Romania,Digi Mobil
4-14054729368,3,3,United States,
4-8615114930000,4,3,China,China Mobile
4-491760003022,23,18,Germany,
4-447802002737,11,11,United Kingdom,O2
4-201059968086,3,1,Egypt,Vodafone
4-33191393490218,12,12,France,
4-14054729360,3,3,United States,
4-336110000320601,4,1,France,
4-639170000358,21,9,Philippines,Globe
4-491760003006,13,13,Germany,
4-447782000115,3,2,United Kingdom,Three
4-33689008256,4,3,France,Orange France
4-48601000071,11,10,Poland,Plus
4-33191491720107,8,7,France,
4-447953700217,10,9,United Kingdom,EE
4-491700600128,7,6,Germany,T-Mobile
4-8613459120000,2,2,China,China Mobile
4-447953700230,3,2,United Kingdom,EE
4-8614796910000,1,1,China,China Mobile
4-32475002511,1,1,Belgium,Proximus
4-8613745908000,1,1,China,China Mobile
4-14054729205,6,4,United States,
4-33191316540398,626,362,France,
4-447953700228,10,8,United Kingdom,EE
4-971550930006,34,31,United Arab Emirates,du
4-201059968088,10,9,Egypt,Vodafone
4-919897050310,3,2,India,Airtel
4-14054729241,6,4,United States,
4-14054729337,7,6,United States,
4-861476741000,2,2,China,
4-201059968070,11,9,Egypt,Vodafone
4-14054729195,3,3,United States,
4-14054729351,8,7,United States,
4-22899999765,8,4,Togo,Moov
4-14047259012,7,7,United States,
4-491700600101,5,4,Germany,T-Mobile
4-4528133317,1,1,Denmark,telia
4-14054729329,3,2,United States,
4-33660005130,1,1,France,Bouygues
4-358508771123,6,6,Finland,Elisa
4-48601000067,3,3,Poland,Plus
4-33191491720170,10,10,France,
